16.0,17.3,131.61,4140.0,26,2049.0,laptop
4.0,5.5,32.0,157.8,16,423.0,smartphone
1.0,5.0,16.0,150.5,15,92.59,smartphone
4.0,5.5,32.0,168.5,9,228.99,smartphone
2.0,11.6,32.0,1400.0,33,179.0,tablet
4.0,14.0,64.0,1440.0,10,254.0,laptop
1.0,10.1,8.0,557.0,11,72.5,tablet
4.0,5.84,64.0,167.68,29,308.0,smartphone
32.0,17.3,131.61,2260.0,2,3830.0,laptop
3.0,6.0,32.0,162.0,20,199.5,smartphone
1.5,5.0,16.0,155.5,12,113.94,smartphone
4.0,15.6,131.61,2200.0,3,429.0,laptop
6.0,6.21,128.0,176.84,25,325.28,smartphone
4.0,10.1,64.0,690.0,10,544.12,tablet
8.0,15.6,256.0,2050.0,10,699.0,laptop
4.0,13.3,128.0,1490.0,1,699.0,laptop
8.0,14.0,256.0,1600.0,5,985.0,laptop
3.0,8.0,16.0,419.0,20,389.12,tablet
4.0,17.3,256.0,3000.0,5,702.0,laptop
2.0,14.0,32.0,1650.0,2,197.0,laptop
4.85,1.77,131.61,1016.32,45,22.21,smartphone
1.0,7.0,8.0,330.0,22,83.0,tablet
1.0,10.1,8.0,610.0,11,68.99,tablet
6.0,5.7,128.0,185.3,25,494.0,smartphone
8.0,14.0,256.0,1750.0,10,937.0,laptop
4.0,15.6,131.61,2200.0,10,429.0,laptop
16.0,13.5,512.0,1576.0,17,1999.0,tablet
8.0,15.6,256.0,1930.0,10,1156.0,laptop
1.0,8.0,8.0,380.0,18,88.9,tablet
6.0,6.3,128.0,181.2,29,392.16,smartphone
8.0,13.3,256.0,1210.0,3,1599.0,laptop
2.0,5.3,16.0,155.65,12,130.7,smartphone
8.0,15.6,131.61,2200.0,26,1199.99,laptop
4.0,15.6,131.61,1860.0,1,225.0,laptop
1.0,4.0,8.0,149.0,22,71.99,smartphone
4.0,5.8,64.0,163.6,20,380.0,smartphone
8.0,17.3,131.61,2500.0,1,980.0,laptop
4.0,6.0,32.0,169.0,9,379.0,smartphone
8.0,13.3,256.0,1600.0,5,769.0,laptop
6.0,6.0,64.0,164.0,13,718.0,smartphone
2.0,8.9,32.0,428.0,40,132.6,tablet
16.0,15.6,256.0,1880.0,26,2318.0,laptop
4.0,15.6,131.61,2200.0,3,544.99,laptop
1.0,5.0,8.0,146.25,41,62.9,smartphone
4.0,5.7,32.0,158.7,12,316.0,smartphone
