228,8.0,15.6,131.61,2200.0,MSI,1199.99,laptop
229,4.0,15.6,131.61,1860.0,HP,225.0,laptop
230,1.0,4.0,8.0,149.0,MLS,71.99,smartphone
231,4.0,5.8,64.0,163.6,Samsung,380.0,smartphone
232,8.0,17.3,131.61,2500.0,HP,980.0,laptop
234,4.0,6.0,32.0,169.0,Sony,379.0,smartphone
235,8.0,13.3,256.0,1600.0,Acer,769.0,laptop
237,6.0,6.0,64.0,164.0,HTC,718.0,smartphone
238,2.0,8.9,32.0,428.0,Xoro,132.6,tablet
239,16.0,15.6,256.0,1880.0,MSI,2318.0,laptop
241,4.0,15.6,131.61,2200.0,Dell,544.99,laptop
243,1.0,5.0,8.0,146.25,Archos,62.9,smartphone
244,4.0,5.7,32.0,158.7,LG,316.0,smartphone
245,4.0,11.3,1000.0,2100.0,Sony,353.0,console
249,3.0,5.0,32.0,161.0,MLS,249.9,smartphone
250,1.0,7.0,8.0,310.0,Crypto,78.0,tablet
251,16.0,15.6,131.61,1780.0,Dell,2930.0,laptop
252,3.0,5.5,32.0,158.5,Meizu,139.9,smartphone
253,16.0,15.6,131.61,1890.0,MSI,1942.0,laptop
256,1.0,10.1,8.0,610.0,eStar,68.99,tablet
257,4.0,15.6,131.61,2000.0,Asus,193.5,laptop
259,6.0,6.39,128.0,205.56,Huawei,995.0,smartphone
260,2.0,6.0,32.0,159.0,Samsung,140.3,smartphone
261,8.0,15.6,256.0,2180.0,Dell,840.0,laptop
262,4.0,14.0,256.0,1700.0,Lenovo,777.0,laptop
263,1.0,5.0,8.0,146.25,Alcatel,59.99,smartphone
265,1.5,8.0,16.0,393.0,Samsung,382.0,tablet
266,8.0,13.3,256.0,1560.0,Lenovo,999.0,laptop
267,2.0,10.1,32.0,509.0,Lenovo,249.65,tablet
268,4.0,15.6,131.61,2000.0,Asus,429.0,laptop
271,2.0,4.7,32.0,156.7,Apple,446.88,smartphone
272,2.0,10.1,32.0,1003.0,Vero,249.0,tablet
273,4.0,15.6,128.0,2100.0,Lenovo,629.9,laptop
274,4.0,5.93,64.0,167.86,Huawei,199.85,smartphone
275,16.0,14.0,512.0,1360.0,Dell,1698.0,laptop
276,6.0,5.5,64.0,163.0,Xiaomi,291.9,smartphone
277,16.0,15.4,512.0,1830.0,Apple,2727.96,laptop
278,1.0,7.0,8.0,310.0,Crypto,78.0,tablet
279,4.0,15.6,256.0,2100.0,Acer,345.8,laptop
280,2.0,10.1,16.0,535.0,TrekStor,113.0,tablet
281,1.0,7.0,8.0,1016.32,Bitmore,44.6,tablet
283,3.0,5.5,32.0,161.5,HTC,318.0,smartphone
284,8.0,13.3,256.0,1100.0,Lenovo,891.0,laptop
285,4.0,15.6,256.0,1770.0,HP,648.0,laptop
286,1.0,7.0,8.0,330.0,eStar,59.0,tablet
287,4.0,15.6,131.61,2290.0,Dell,398.0,laptop
288,2.0,10.1,16.0,535.0,TrekStor,113.0,tablet
289,8.0,17.3,131.61,4420.0,Dell,2139.0,laptop
290,8.0,15.6,256.0,2000.0,Lenovo,1199.0,laptop
291,3.0,5.99,32.0,157.99,Xiaomi,129.73,smartphone
292,6.0,15.6,256.0,2200.0,Lenovo,539.0,laptop
293,3.0,10.5,32.0,534.0,Samsung,278.65,tablet
297,1.0,5.0,8.0,149.25,Samsung,92.01,smartphone
299,1.0,8.0,8.0,380.0,Fluo,88.9,tablet
300,8.0,13.9,256.0,1380.0,Lenovo,998.0,laptop
301,8.0,11.3,1000.0,2100.0,Sony,379.5,console
302,1.0,8.0,8.0,330.0,eStar,74.89,tablet
303,4.0,15.6,128.0,2100.0,HP,674.0,laptop
304,4.0,15.6,128.0,1900.0,Lenovo,469.0,laptop
305,6.0,6.2,64.0,164.4,Samsung,655.96,smartphone
306,3.0,5.2,32.0,158.2,Meizu,130.0,smartphone
307,16.0,15.6,131.61,2610.0,Dell,1469.0,laptop
308,4.85,2.4,8.0,142.6,MLS,58.99,smartphone
309,1.0,7.0,8.0,300.0,Lenovo,130.0,tablet
310,4.0,15.6,131.61,2100.0,Acer,224.0,laptop
311,1.0,10.1,8.0,557.0,eStar,72.5,tablet
312,4.0,10.1,64.0,665.0,Lenovo,549.0,tablet
313,4.0,11.3,500.0,2100.0,Sony,329.5,console
314,4.0,11.69,500.0,2900.0,Microsoft,265.0,console
315,1.0,7.0,8.0,330.0,MLS,83.0,tablet
316,8.0,15.6,131.61,2200.0,Dell,977.0,laptop
318,16.0,17.3,131.61,2900.0,Asus,1490.0,laptop
319,1.0,10.1,16.0,800.0,Denver,118.0,tablet
320,8.0,14.0,256.0,1300.0,Asus,1132.0,laptop
323,2.0,11.69,1000.0,3800.0,Microsoft,429.9,console
324,1.0,7.0,8.0,1016.32,Navitel,74.99,tablet
325,1.0,8.0,16.0,348.0,MLS,109.0,tablet
326,2.0,5.0,16.0,150.5,Asus,205.9,smartphone
327,2.0,11.69,1000.0,3800.0,Microsoft,499.0,console
328,8.0,13.3,256.0,1380.0,HP,1399.0,laptop
329,3.0,5.5,32.0,161.5,MLS,299.9,smartphone
330,6.0,15.6,256.0,1990.0,HP,593.99,laptop
331,3.0,5.5,32.0,157.5,Huawei,253.0,smartphone
332,4.0,15.6,131.61,2300.0,Acer,549.0,laptop
333,8.0,14.0,131.61,1700.0,Lenovo,499.99,laptop
334,6.0,6.0,64.0,168.0,Asus,355.0,smartphone
335,8.0,17.3,131.61,2800.0,Dell,929.0,laptop
336,4.85,7.0,8.0,516.0,Bitmore,43.9,tablet
337,16.0,15.6,512.0,2000.0,Dell,1295.0,laptop
339,4.0,15.6,256.0,2200.0,Acer,570.0,laptop
340,1.0,7.0,8.0,330.0,MLS,83.0,tablet
342,4.0,15.6,131.61,1930.0,Dell,868.0,laptop
343,1.0,7.0,8.0,300.0,Lenovo,130.0,tablet
345,4.0,6.4,64.0,168.8,Lenovo,399.0,smartphone
348,2.0,10.1,16.0,508.0,Lenovo,209.02,tablet
349,1.0,10.1,8.0,557.0,eStar,72.5,tablet
350,4.85,7.0,8.0,516.0,Bitmore,43.9,tablet
351,1.0,4.5,16.0,150.25,MLS,73.66,smartphone
353,4.0,13.5,128.0,1252.0,Microsoft,1010.0,laptop
354,4.0,11.3,1000.0,2100.0,Sony,359.0,console
355,4.0,15.6,131.61,1860.0,HP,264.0,laptop
356,4.85,8.0,8.0,364.0,eStar,89.99,tablet
357,4.85,7.0,8.0,516.0,Bitmore,43.9,tablet
358,4.0,15.6,131.61,1900.0,Lenovo,429.0,laptop
359,3.0,5.2,32.0,157.2,Huawei,259.0,smartphone
361,4.0,10.1,64.0,1200.0,HP,388.0,tablet
362,2.0,5.2,16.0,150.6,BQ,143.6,smartphone
363,6.0,15.6,131.61,2100.0,Acer,529.0,laptop
364,2.0,5.7,16.0,155.85,Huawei,149.2,smartphone
365,2.0,5.0,16.0,150.5,TP-LINK,88.99,smartphone
366,4.0,15.6,128.0,1900.0,Lenovo,399.0,laptop
